Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains
09-17-25,Shringar House of ...,400.95,101.41,82.58,27.22 ,60.29,165,187.7,13.76,213.3,212.66,29.27
09-17-25,Urban Company Ltd,1900,140.2,74.04,39.25 ,103.63,103,161,56.31,120.05,120.03,16.55
09-09-25,Amanta Healthcare ...,126,35.86,209.42,54.98 ,82.61,126,134,6.35,129.05,130.09,2.42
09-03-25,Anlon Healthcare L...,121.03,1.07,10.61,47.29 ,7.12,91,91,0,13.89,13.91,-84.74
09-03-25,Vikran Engineering...,772,19.45,58.58,10.97 ,23.59,97,99.7,2.78,64.8,64.8,-33.2
08-28-25,Mangal Electrical ...,400,10.54,18.79,4.84 ,9.46,561,558,-0.53,315.65,315.85,-43.73
08-26-25,Gem Aromatics Ltd,451.25,55.28,45.06,10.31 ,30.27,325,325,0,156.45,157.1,-51.86
08-26-25,Shreeji Shipping G...,410.71,110.41,72.7,21.94 ,58.1,252,271.85,7.88,453.65,450.1,80.02
08-26-25,Patel Retail Ltd,242.76,272.43,108.18,42.49 ,95.7,255,305,19.61,198.05,198.24,-22.33
08-26-25,Vikram Solar Ltd,2079.37,142.79,50.9,7.65 ,54.63,332,340,2.41,200,199.82,-39.76
08-20-25,Regaal Resources L...,306,190.97,356.73,57.75 ,159.88,102,141.8,39.02,86.85,87.42,-14.85
08-19-25,Bluestone Jeweller...,1540.65,4.28,0.55,1.35 ,2.7,517,508.8,-1.59,474.75,474.5,-8.17
08-14-25,JSW Cement Ltd,3600,15.8,10.97,1.81 ,7.77,147,153,4.08,137.9,137.99,-6.19
08-14-25,All Time Plastics ...,400.6,10.15,13.47,5.14 ,8.34,275,314.3,14.29,245.8,243.36,-10.62
08-12-25,Highway Infrastruc...,130,420.57,447.32,155.58 ,300.61,70,117,67.14,48.95,48.25,-30.07
08-18-25,Knowledge Realty T...,4800,6.75,15.51,0.00 ,10.73,100,104,4,116.84,116.67,16.84
08-06-25,M & B Engineering Ltd,650,36.72,38.24,32.55,36.2,385,386,0.26,426.85,426.15,10.87
08-06-25,Sri Lotus Developers & Realty Ltd,792,163.9,57.71,20.28,69.14,150,179.1,19.4,201.1,199.72,34.07
08-06-25,National Securities Depository Ltd (NSDL),"4,011.60",103.97,34.98,7.73,41.01,800,880,10,"1,294.05",61.76,
08-05-25,Aditya Infotech Ltd,"1,300",133.21,72,50.87,100.69,675,"1,018.00",50.81,"1,064.60","1,062.70",57.72
08-05-25,Laxmi India Finance Ltd,254.26,1.3,1.84,2.22,1.87,158,136,-13.92,149,150,-5.7
08-01-25,Shanti Gold International Ltd,360.11,117.33,151.48,30.37,81.17,199,229.1,15.13,254,255.9,27.64
07-31-25,Brigade Hotel Ventures Limited,759.6,5.42,1.92,6.4,4.48,90,82,-8.89,85.95,86,-4.5
07-30-25,GNG Electronics Limited,460.44,266.21,227.67,46.84,147.93,237,350,47.68,321.2,321.95,35.53
07-30-25,Indiqube Spaces Limited,700,14.35,8.27,12.9,12.41,237,218.7,-7.72,216.3,216.33,-8.73
07-21-25,Anthem Biosciences Limited,3395,182.65,42.36,5.64,63.86,570,723.1,26.86,753.15,754.8,32.13
07-17-25,Smartworks Coworking Limited,582.56,24.41,22.78,3.53,13.45,407,436.1,7.15,462.3,461.2,13.59
07-14-25,Travel Food Services Limited,2000,7.7,1.58,0.69,2.88,"1,100.00","1,126.20",2.38,"1,148.15","1,148.00",4.38
07-09-25,Crizac Limited,860,134.35,76.15,10.24,59.82,245,280,14.29,298.35,299.5,21.78
07-03-25,Indogulf Cropsciences Limited,200,33.26,48.39,14.78,25.98,111,111,0,106.9,106.88,-3.69
07-02-25,HDB Financial Services Limited,12500,55.47,9.99,1.41,16.69,740,835,12.84,741.9,741.65,0.26
07-02-25,Sambhv Steel Tubes Limited,540,62.32,31.82,7.99,28.46,82,110.1,34.27,120.8,120.61,47.32
07-01-25,Globe Civil Projects Limited,119,99.76,143.15,53.72,86.04,71,91.1,28.31,81.33,81.29,14.55
07-01-25,Kalpataru Limited,1590,3.12,1.31,1.29,2.26,414,414.1,0.02,408.7,408.25,-1.28
07-01-25,Ellenbarrie Industrial Gases Limited,852.53,64.23,15.21,2.14,22.19,400,492,23,522.4,520.75,30.6
06-25-25,Arisinfra Solutions Limited,499.6,1.42,3.14,5.59,2.65,222,209.1,-5.81,149.2,147.99,-32.79
06-20-25,Oswal Pumps Limited,1387.34,88.08,36.7,3.6,34.42,614,632,2.93,763.8,763.1,24.4
06-04-25,Scoda Tubes Limited,220,69.51,113.03,19.4,53.78,140,140,0,184.1,184.44,31.5
06-03-25,Prostarm Info Systems Limited,168,104.49,222.14,39.49,97.2,105,125,19.05,210.95,209.42,100.9
06-02-25,Aegis Vopak Terminals Limited,2800,3.3,0.56,0.77,2.09,235,220,-6.38,241.8,240.69,2.89
06-02-25,Schloss Bangalore Limited,3500,7.46,1.02,0.83,4.5,435,406.5,-6.55,438.45,438.3,0.79
05-28-25,Belrise Industries Limited,2150,108.35,38.33,4.27,41.3,90,98.5,9.44,137,136.18,52.22
05-27-25,Borana Weaves Limited,144.89,87.21,237.42,200.53,148.78,216,243,12.5,220.8,219.81,2.22
05-06-25,Ather Energy Limited,2980.8,1.7,0.66,1.78,1.43,321,326.05,1.57,411.55,410.4,28.21
02-24-25,Quality Power Electronics Limited,858.7,1.03,1.45,1.83,1.29,425,432.05,1.66,804.7,805.8,89.34
02-19-25,Hexaware Technologies Limited,8750,9.09,0.2,0.11,2.66,708,731,3.25,708.95,707.5,0.13
02-17-25,Ajax Engineering Limited,1268.88,14.41,6.46,1.92,6.44,629,593,-5.72,717.3,715.65,14.04
02-04-25,Dr Agarwal's Healthcare Limited,3027.26,4.64,0.4,0.41,1.55,402,396.9,-1.27,451.5,452.85,12.31
01-29-25,Denta Water & Infrastructure Limited,220.5,236.94,507.27,90.56,221.68,294,330,12.24,316.05,315,7.5
01-23-25,Stallion India Fluorochem Limited,199.45,172.93,422.42,96.89,188.37,90,120,33.33,123.8,122.86,37.56
01-20-25,Laxmi Dental Limited,698.06,110.38,147.95,76.24,114.42,428,528,23.36,398.05,400.4,-7
01-17-25,Capital Infra Trust,1578,0.58,4.24,0,2.23,99,99,0,78.98,78.99,-20.22
01-14-25,Quadrant Future Tek Limited,290,132.54,254.71,246.94,186.66,290,374,28.97,384.2,382.6,32.48
01-13-25,Standard Glass Lining Technology Limited,410.05,331.6,268.5,64.99,183.18,140,176,25.71,165.8,168,18.43
01-07-25,Indo Farm Equipment Limited,260.15,242.4,503.83,104.92,229.68,215,258.4,20.19,210.5,209.8,-2.09
12-31-24,Unimech Aerospace and Manufacturing Limited,500,317.63,263.78,56.74,175.31,785,"1,491.00",89.94,"1,097.00","1,099.90",39.75
12-30-24,Ventive Hospitality Limited,1600,9.08,13.85,5.87,9.8,643,718.15,11.69,744.25,741.15,15.75
12-30-24,Carraro India Limited,1250,2.21,0.6,0.71,1.12,704,660,-6.25,416.95,416.4,-40.77
12-30-24,Senores Pharmaceuticals Limited,582.11,94.66,96.11,89.23,93.41,391,593.7,51.84,660.55,661,68.94
12-27-24,Transrail Lighting Limited,838.91,201.06,76.41,22.07,80.8,432,585.15,35.45,787.2,782.85,82.22
12-27-24,Dam Capital Advisors Limited,840.25,166.33,98.62,27.13,82.08,283,392.9,38.83,219.7,218.93,-22.37
12-27-24,Mamata Machinery Limited,179.35,235.88,274.38,138.08,194.95,243,600,146.91,423.1,422.7,74.12
12-27-24,Sanathan Textiles Limited,550,75.62,42.21,8.93,35.12,321,419.1,30.56,460.4,458.35,43.43
12-27-24,Concord Enviro Systems Limited,500.33,17.32,14.2,5.56,10.67,701,832,18.69,537.35,541.1,-23.35
12-20-24,International Gemmological Institute (India) Limited,4225,45.8,24.84,11.21,33.78,417,504.85,21.07,336.9,337.35,-19.21
12-19-24,Inventurus Knowledge Solutions Limited,2497.92,80.64,23.25,14.55,52.68,"1,329.00","1,856.00",39.65,"1,582.55","1,578.20",19.08
12-18-24,Vishal Mega Mart Limited,8000,80.75,14.25,2.31,27.28,78,110,41.03,142.2,141.26,82.31
12-18-24,One Mobikwik Systems Limited,572,119.5,108.95,134.67,119.38,279,442.25,58.51,230.35,229.41,-17.44
12-18-24,Sai Life Sciences Limited,3042.62,30.93,4.92,1.37,10.26,549,660,20.22,884.1,878.1,61.04
12-06-24,Suraksha Diagnostic Limited,846.25,1.74,1.41,0.95,1.27,441,437,-0.91,297.55,298.05,-32.53
11-29-24,Enviro Infra Engineers Limited,650.3,157.05,153.8,24.48,89.9,148,218,47.3,247,246.45,66.89
11-27-24,NTPC Green Energy Limited,10000,3.32,0.81,3.44,2.42,108,111.6,3.33,103.6,103.4,-4.07
11-22-24,Zinka Logistics Solution Limited (BlackBuck),1114.72,2.76,0.24,1.66,1.86,273,279.05,2.22,537.15,536,96.76
11-14-24,Niva Bupa Health Insurance Company Limited,2200,2.06,0.68,2.73,1.8,74,78.5,6.08,80.43,80.18,8.69
11-13-24,Swiggy Limited,11327.4,6.02,0.41,1.14,3.59,390,412,5.64,399.45,396.55,2.42
11-13-24,ACME Solar Holdings Limited,2900,3.54,0.97,3.1,2.75,289,259,-10.38,276.35,278.25,-4.38
11-12-24,Sagility India Limited,2106.4,3.52,1.93,4.16,3.2,30,31.06,3.53,44.73,44.46,49.1
11-04-24,Afcons Infrastructure Limited,5430,3.79,5.05,0.94,2.63,463,430.05,-7.12,422,422.3,-8.86
10-30-24,Godavari Biorefineries Limited,554.75,2.76,0.9,1.71,1.83,352,310.55,-11.78,284,287.45,-19.32
10-28-24,Deepak Builders & Engineers India Limited,260.04,13.91,82.47,39.79,41.54,203,198.5,-2.22,132.2,132.68,-34.88
10-28-24,Waaree Energies Limited,4321.44,208.63,62.49,10.79,76.34,"1,503.00","2,550.00",69.66,"3,171.10","3,162.30",110.98
10-22-24,Hyundai Motor India Limited,27858.8,6.97,0.6,0.5,2.37,"1,960.00","1,931.00",-1.48,"2,234.75","2,225.10",14.02
10-15-24,Garuda Construction and Engineering Limited,264.1,1.24,9.03,10.81,7.55,95,103.2,8.63,171.4,170.33,80.42
10-04-24,Diffusion Engineers Limited,157.96,95.74,207.6,85.61,114.49,168,188,11.9,336.5,335.85,100.3
10-03-24,KRN Heat Exchanger and Refrigeration Limited,341.95,253.04,431.63,98.29,214.42,220,470,113.64,911.25,911,314.2
09-30-24,Manba Finance Limited,150.84,148.55,511.62,143.95,224.05,120,150,25,138.55,138.8,15.46
09-24-24,Arkade Developers Limited,410,163.16,163.02,51.39,106.83,128,175.9,37.42,190.6,190,48.91
09-24-24,Northern ARC Capital Limited,777,240.79,142.41,31.08,110.91,263,351,33.46,230.05,229.21,-12.53
09-24-24,Western Carriers Limited,492.88,27.99,44.71,25.95,30.57,172,170,-1.16,120,120,-30.23
09-17-24,P N Gadgil Jewellers Limited,1100,136.85,56.08,16.58,59.4,480,834,73.75,554.1,553.05,15.44
09-16-24,Tolins Tyres Limited,230,25.42,27.41,21.52,23.89,226,227,0.44,155,154.7,-31.42
09-16-24,Bajaj Housing Finance Limited,6560,209.36,41.51,7.04,63.61,70,150,114.29,113.2,113.02,61.71
09-16-24,Kross Limited,500,23.32,22.24,10.76,16.81,240,240,0,162.7,162.66,-32.21
09-12-24,Shree Tirupati Balajee Agro Trading Company Limited,169.65,150.87,210.12,73.22,124.75,83,92.9,11.93,50.37,50.03,-39.31
09-09-24,Gala Precision Engineering Limited,167.93,232.54,414.62,91.95,201.41,529,750.00,41.78,814.55,816.9,53.98
09-06-24,Baazar Style Retail Limited,834.68,81.83,59.43,9.12,40.66,389,389,0,315.2,313.7,-18.97
09-04-24,Ecos (India) Mobility & Hospitality Limited,601.2,136.85,71.23,19.79,64.26,334,391.3,17.16,293.25,298.15,-12.2
09-03-24,Premier Energies Limited,2830.4,216.67,50.04,7.69,74.38,450,991,120.22,"1,015.45","1,012.70",125.66
08-28-24,Orient Technologies Limited,214.76,189.9,300.6,66.87,151.71,206,290,40.78,319.05,317.4,54.88
08-26-24,Interarch Building Products Limited,600.29,205.41,128.42,19.11,93.53,900,"1,291.20",43.47,"2,217.00","2,183.00",146.33
08-20-24,Saraswati Saree Depot Limited,160.01,64.12,358.65,61.88,107.52,160,200,25,91.81,91.26,-42.62
08-13-24,Brainbees Solutions Limited,4193.73,19.3,4.68,2.31,12.22,465,625.00,34.41,373.65,373.85,-19.65
08-13-24,Unicommerce eSolutions Limited,276.57,138.75,252.48,131.15,168.39,108,230,112.96,124.35,123.1,15.14
08-09-24,Ola Electric Mobility Limited,6145.56,5.31,2.4,3.92,4.27,76,75.99,-0.01,39.99,39.9,-47.38
08-08-24,Ceigall India Limited,1252.66,31.5,14.42,3.77,13.78,401,413.00,2.99,247.25,247.52,-38.34
08-06-24,Akums Drugs and Pharmaceuticals Limited,1856.74,90.09,42.21,21.3,63.56,679,725,6.77,473,474.3,-30.34
07-26-24,Sanstar Limited,510.55,145.68,136.5,24.23,82.99,95,106.4,12,85.87,85.39,-9.61
07-10-24,Emcure Pharmaceuticals Limited,1952.03,195.83,48.32,7.21,67.87,"1,008.00","1,325.05",31.45,"1,390.50","1,395.00",37.95
07-10-24,Bansal Wire Industries Limited,745,146.05,51.46,13.64,59.57,256,352.05,37.52,366.15,365.05,43.03
07-03-24,Vraj Iron & Steel Limited,171,163.9,208.81,54.93,119.04,207,240,15.94,162,161.43,-21.74
07-02-24,Allied Blenders and Distillers Limited,1500,50.37,32.4,4.51,23.55,281,318.1,13.2,494.75,493,76.07
06-28-24,Stanley Lifestyles Limited,537.02,0.74,8.86,6.11,5.22,369,499,35.23,316.75,318.15,-14.16
04-25-24,Vodafone Idea Ltd ,18000,17.56,4.13,0.92,6.36,11,12,9.09,6.6,6.53,-40
04-12-24,Bharti Hexacom Ltd ,4275,48.57,10.52,2.83,29.88,570,755.2,32.49,"1,742.90","1,740.10",205.77
04-03-24,SRM Contractors Ltd ,130.2,59.59,214.94,46.97,86.57,210,225,7.14,476.55,474,126.93
03-21-24,Krystal Integrated Services Ltd ,300.12,7.33,43.91,3.32,13.21,715,795,11.19,625.8,611,-12.48
03-19-24,Popular Vehicles & Services Ltd ,601.55,1.97,0.66,1.05,1.23,295,292,-1.02,120,119.5,-59.32
03-14-24,Gopal Snacks Ltd,650,17.5,9.5,4.01,9.02,401,350,-12.72,371.25,371.95,-7.42
03-13-24,J.G.Chemicals Ltd ,251.19,32.09,46.33,17.44,27.78,221,211,-4.52,482.25,484.4,118.21
03-12-24,R K Swamy Ltd ,423.56,20.58,34.36,34.03,25.94,288,252,-12.5,155.8,155.28,-45.9
03-07-24,Mukka Proteins Ltd ,224,189.28,250.38,58.52,136.99,28,44,57.14,27.61,27.69,-1.39
03-12-24,Indus Infra Trust ,2499.99,8.92,6.93,0,8.01,100,101,1,111.53,111.3,11.53
03-05-24,Exicom Tele-Systems Ltd ,429,121.8,153.22,119.59,129.54,142,264,85.92,139.05,138.81,-2.08
03-05-24,Platinum Industries Ltd ,235.32,151,141.83,50.99,99.03,171,228,33.33,276.6,278,61.75
02-29-24,GPT Healthcare Ltd ,525.14,17.3,11.02,2.44,8.52,186,216.15,16.21,155,156,-16.67
02-28-24,Juniper Hotels Ltd ,1800,0,0.06,0.52,0.11,360,361.2,0.33,291.85,292.2,-18.93
02-20-24,Vibhor Steel Tubes Limited,72.17,178.73,721.34,188.17,298.86,151,421,178.81,158.2,155.6,4.77
02-16-24,Entero Healthcare Solutions Limited,1600,2.28,0.22,1.33,1.53,"1,258.00","1,245.00",-1.03,"1,205.20","1,196.40",-4.2
02-14-24,Jana Small Finance Bank Limited,570,38.75,25.05,5.46,18.5,414,396,-4.35,461,459.35,11.35
02-14-24,Capital Small Finance Bank Limited,523.07,6.64,4.05,2.49,4,468,435,-7.05,298.45,299,-36.23
02-14-24,Rashi Peripherals Limited,600,143.66,62.75,10.44,59.71,311,335,7.72,280.35,280.4,-9.86
02-12-24,Apeejay Surrendra Group (conglomerate),920,75.14,52.41,30.35,59.66,155,187,20.65,148.85,148.25,-3.97
02-06-24,BLS E-Services Limited,309.29,123.3,300.14,237,162.47,135,309,128.89,185.85,185.5,37.67
01-31-24,Nova Agritech Limited,143.81,79.31,224.08,77.12,109.37,41,56,36.59,50.4,50.14,22.93
01-30-24,Epack Durable Limited,640.05,25.5,28.1,6.29,16.37,230,225,-2.17,377.85,376.9,64.28
01-23-24,Medi Assist Healthcare Services Limited,1171.58,40.14,14.85,3.19,16.25,418,465,11.24,578,574.4,38.28
01-16-24,Jyoti CNC Automation Limited,1000,44.13,36.48,26.17,38.53,331,372,12.39,914.75,912,176.36
12-29-23,Innova Captab Limited,570,116.73,64.95,17.15,55.26,448,456.1,1.81,892.4,891,99.2
12-28-23,Azad Engineering Limited,740,179.66,87.61,23.79,80.65,524,710,35.5,"1,481.25","1,478.50",182.68
12-27-23,Happy Forgings Limited,1008.59,220.48,62.17,15.09,82.04,850,"1,001.25",17.79,960.65,956.65,13.02
12-27-23,Credo Brands Marketing Limited,549.78,104.95,55.52,19.94,51.85,280,282,0.71,120.1,120.2,-57.11
12-27-23,RBZ Jewellers Limited,100,13.43,9.27,24.74,16.86,100,100,0,141.35,138.39,41.35
12-26-23,Muthoot Microfin Limited,960,17.47,13.2,7.61,11.52,291,278,-4.47,146.1,147.59,-49.79
12-26-23,Motisons Jewellers Limited,151.09,157.4,233.91,122.28,159.61,55,103.9,88.91,18.57,18.43,-66.24
12-26-23,Suraj Estate Developers Limited,400,24.31,18.9,9.3,15.65,360,343.8,-4.5,286.1,283.95,-20.53
12-21-23,Inox India Limited,1459.32,147.8,53.2,15.3,61.28,660,933.15,41.39,"1,109.95","1,108.80",68.17
12-20-23,Doms Industries Limited,1200,115.97,66.51,69.67,93.52,790,"1,400.00",77.22,"2,551.35","2,553.90",222.96
12-20-23,India Shelter Finance Limited,1200,89.7,28.51,9.95,36.71,493,612.7,24.28,918.05,917.5,86.22
12-01-23,Flair Writing Instruments Limited,593,115.6,33.37,13.01,46.68,304,503,65.46,326.5,326.5,7.4
11-30-23,Tata Technologies Limited,3042.51,203.41,62.11,16.5,69.43,500,"1,199.95",139.99,669.25,664.75,33.85
11-30-23,Gandhar Oil Refineries Limited,500.69,129,62.23,28.95,64.07,169,295.4,74.79,149.55,149.59,-11.51
11-30-23,Fedbank Financial Services Limited,1092.26,3.51,1.45,1.82,2.2,140,137.75,-1.61,130.25,130,-6.96
